state_name,y,x
United Kingdom,54,-2
Netherlands,52.5,5.75
Belgium,50.83333333,4
France,46,2
Spain,40,-4
Germany,51,9
Italy,42.83333333,12.83333333
Paraguay,-23,-58
Brazil,-10,-55
Ecuador,-2,-77.5
Colombia,4,-72
Argentina,-34,-64
Peru,-10,-76
Guatemala,15.5,-90.25
Honduras,15,-86.5
El Salvador,13.83333333,-88.91666666
Nicaragua,13,-85
Greece,39,22
Bulgaria,43,25
Turkey,39,35
Poland,52,20
Estonia,59,26
Hungary,47,20
Romania,46,25
Austria,47.33333333,13.33333333
Latvia,57,25
Iraq,33,44
Cuba,21.5,-80
Haiti,19,-72.41666666
Dominican Republic,19,-70.66666666
Mexico,23,-102
Costa Rica,10,-84
Panama,9,-80
Chile,-30,-71
Japan,36,138
Australia,-27,133
Mauritania,20,-12
Somalia,10,49
Djibouti,11.5,43
Morocco,32,-5
Algeria,28,3
Tunisia,34,9
Libya,25,17
Sudan,15,30
Egypt,27,30
Lebanon,33.83333333,35.83333333
Jordan,31,36
Saudi Arabia,25,45
Yemen,15,48
Kuwait,29.5,45.75
Qatar,25.5,51.25
United Arab Emirates,24,54
Canada,60,-95
Bahamas,24.25,-76
Jamaica,18.25,-77.5
Trinidad and Tobago,11,-61
Belize,17.25,-88.75
Guyana,5,-59
Suriname,4,-56
Albania,41,20
Luxembourg,49.75,6.16666666
Portugal,39.5,-8
Norway,62,10
Denmark,56,10
Iceland,65,-18
Pakistan,30,70
Thailand,15,100
Philippines,13,122
China,35,105
Central African Republic,7,21
Chad,15,19
Cyprus,35,33
Afghanistan,33,65
Mali,17,-4
Guinea,11,-10
Senegal,14,-14
Benin,9.5,2.25
Niger,16,8
Burkina Faso,13,-2
Togo,8,1.16666666
Cameroon,28,3
Gabon,-1,11.75
Congo,-1,15
Rwanda,-2,30
India,20,77
Myanmar,22,98
Kenya,1,38
Burundi,-3.5,30
Uganda,1,32
Guinea-Bissau,12,-15
Gambia,13.46666666,-16.56666666
Liberia,6.5,-9.5
Sierra Leone,8.5,-11.5
Ghana,8,-2
Angola,-12.5,18.5
Ethiopia,8,38
Mozambique,-18.25,35
Malta,35.83333333,14.58333333
Ukraine,49,32
Belarus,53,28
Armenia,40,45
Azerbaijan,40.5,47.5
Turkmenistan,40,60
Tajikistan,39,71
Kyrgyzstan,41,75
Uzbekistan,41,64
Croatia,45.16666666,15.5
Slovakia,48.66666666,19.5
Lithuania,56,24
Indonesia,-5,120
Kazakhstan,48,68
Zimbabwe,-20,30
Zambia,-15,30
Sweden,62,15
Uruguay,-33,-56
New Zealand,-41,174
Oman,21,57
Israel,31.5,34.75
Malaysia,2.5,112.5
Cambodia,13,105
Madagascar,-20,47
Bangladesh,24,90
Nigeria,10,8
South Africa,-29,24
Bosnia and Herzegovina,44,18
Namibia,-22,17
Eritrea,15,39